Fecha,Precio_Cierre,Volumen_24h,Cap_Mercado,Volatilidad_30d
21-07-12,0.20775,170528117.522791,35427216.415359825,0.102
21-07-13,0.19997,185691879.132141,37132805.07005423,0.102
21-07-14,0.19761,244169787.718541,48250391.75106089,0.102
21-07-15,0.18534,183033118.154018,33923358.1186657,0.102
21-07-16,0.17202,213123708.47093,36661540.33116938,0.103
21-07-17,0.18734,476953686.134632,89352503.56046195,0.105
21-07-18,0.18157,252407070.042161,45829551.707555175,0.105
21-07-19,0.17362,189731806.229248,32941236.197522037,0.105
21-07-20,0.17047,314175778.978752,53557545.04250786,0.065
21-07-21,0.19046,868579035.199899,165429563.04417273,0.067
21-07-22,0.19123,266620497.729589,50985837.7808293,0.055
21-07-23,0.19489,258932536.475054,50463362.03362328,0.05
21-07-24,0.19688,318970652.714052,62798942.10634256,0.047
21-07-25,0.19793,220142764.721492,43572857.42132491,0.046
21-07-26,0.20362,986674155.365353,200906591.51549318,0.044
21-07-27,0.20585,409976210.815394,84393602.99634886,0.044
21-07-28,0.20574,351384949.013336,72293939.41000375,0.044
21-07-29,0.20502,178588860.479987,36614288.175606936,0.043
21-07-30,0.20873,257289553.34457,53704048.4696121,0.043
21-07-31,0.20765,245268650.460207,50930035.26806198,0.043
21-08-01,0.20424,327413782.117151,66870990.85960693,0.043
21-08-02,0.20327,183847136.445562,37370607.42528939,0.043
21-08-03,0.19626,193410947.608331,37958832.57761104,0.042
21-08-04,0.20153,173866598.174591,35039335.53012532,0.042
21-08-05,0.20095,188155415.653537,37809830.77557826,0.041
21-08-06,0.20482,257269083.174165,52693853.615732476,0.039
21-08-07,0.26189,1201706313.606018,314714866.4702801,0.059
21-08-08,0.23996,1496730706.919715,359155500.4324548,0.061
21-08-09,0.25609,928109307.89706,237679512.65935808,0.062
21-08-10,0.25732,659012619.404047,169577127.22504938,0.061
21-08-11,0.26445,1004804670.805948,265720595.19463298,0.061
21-08-12,0.26401,1064711859.986252,281094578.1549704,0.061
21-08-13,0.28667,592227760.814491,169773932.19269013,0.06
21-08-14,0.29402,901636552.542844,265099179.178647,0.058
21-08-15,0.33984,1544241159.194859,524794915.54078084,0.061
21-08-16,0.31956,1377064266.900456,440054657.1307097,0.062
21-08-17,0.29933,1129087958.006729,337969898.47015417,0.063
21-08-18,0.3032,1232998199.510053,373845054.09144807,0.063
21-08-19,0.31778,727935173.079268,231323239.3011298,0.061
21-08-20,0.32733,703117739.037877,230151529.51926827,0.061
21-08-21,0.31662,564595301.081642,178762164.22846952,0.062
21-08-22,0.31467,439943524.686623,138437028.91313964,0.062
21-08-23,0.31783,589609143.608936,187395474.1132281,0.062
21-08-24,0.28864,699766438.968671,201980584.94391719,0.065
21-08-25,0.29255,479310656.428245,140222332.53808308,0.065
21-08-26,0.2684,387132430.935584,103906344.46311076,0.067
21-08-27,0.2944,375916392.105231,110669785.83578,0.069
21-08-28,0.286,235148683.902022,67252523.59597829,0.069
21-08-29,0.2809,214101374.1037,60141075.98572933,0.069
21-08-30,0.272,277765719.4784,75552275.6981248,0.07
21-08-31,0.2781,275796352.7792,76698965.70789553,0.07
21-09-01,0.2943,306153073.6131,90100849.56433533,0.07
21-09-02,0.2947,559826638.10634,164980910.24993843,0.07
21-09-03,0.2961,370327334.0621,109653923.6157878,0.07
21-09-04,0.2992,351086766.7671,105045160.61671633,0.07
21-09-05,0.3143,388890887.956927,122228406.08486217,0.055
21-09-06,0.309,411842890.431976,127259453.14348058,0.052
21-09-07,0.2552,1093324011.936163,279016287.8461088,0.062
21-09-08,0.2567,510772656.434,131115340.90660779,0.062
21-09-09,0.2525,247597398.9575,62518343.23676875,0.062
21-09-10,0.2397,256488140.4472,61480207.26519384,0.063
21-09-11,0.241,139714407.491,33671172.205331,0.061
21-09-12,0.2502,203304943.3593,50866896.82849685,0.061
21-09-13,0.2358,283614884.6006,66876389.78882148,0.055
21-09-14,0.2406,142920878.2602,34386763.30940412,0.054
21-09-15,0.2476,151898288.6084,37610016.25943983,0.054
21-09-16,0.2418,185504087.1676,44854888.27712568,0.054
21-09-17,0.2401,379559281.6859,91132183.53278458,0.053
21-09-18,0.2413,129164187.2491,31167318.383207828,0.052
21-09-19,0.2331,115252029.3655,26865248.04509805,0.052
21-09-20,0.2086,394048468.11675,82198510.44915405,0.055
21-09-21,0.2009,304987868.418026,61272062.765181415,0.055
21-09-22,0.2245,322392479.6739,72377111.68679056,0.058
21-09-23,0.2246,180164367.1764,40464916.86781944,0.058
21-09-24,0.2091,303553065.915496,63472946.082930215,0.057
21-09-25,0.2083,135245750.1268,28171689.75141244,0.054
21-09-26,0.205,157519709.582092,32291540.464328855,0.054
21-09-27,0.1997,91574177.3443,18287363.21565671,0.054
21-09-28,0.1965,95483638.9411,18762535.05192615,0.053
21-09-29,0.1987,101260063.7077,20120374.65871999,0.053
21-09-30,0.2042,106147967.7293,21675415.010323063,0.052
21-10-01,0.2226,219547713.5179,48871321.02908453,0.055
21-10-02,0.2185,160184235.4605,35000255.44811925,0.055
21-10-03,0.2218,154246564.9132,34211888.09774776,0.055
21-10-04,0.2414,758280391.1533,183048886.42440665,0.057
21-10-05,0.2516,952019073.9664,239527999.00994623,0.058
21-10-06,0.2541,937240922.1354,238152918.31460515,0.046
21-10-07,0.2428,526371407.1848,127802977.66446944,0.047
21-10-08,0.2441,341183059.2546,83282784.76404786,0.047
21-10-09,0.2467,265083202.339,65396026.0170313,0.046
21-10-10,0.2288,235428475.557,53866035.207441606,0.048
21-10-11,0.2312,250141411.2954,57832694.29149648,0.047
21-10-12,0.2261,230081402.5814,52021405.12365454,0.046
21-10-13,0.2326,236627812.1845,55039629.1141147,0.046
21-10-14,0.2325,258753618.1737,60160216.225385256,0.046
21-10-15,0.234,339393961.8634,79418187.0760356,0.046
21-10-16,0.2372,292786694.9621,69449004.04501012,0.046
21-10-17,0.2378,285692592.6714,67937698.53725892,0.046
21-10-18,0.2474,1256772812.2268,310925593.7449103,0.046
21-10-19,0.2454,348466072.2453,85513574.12899663,0.041
21-10-20,0.2548,412204555.7587,105029720.80731678,0.04
21-10-21,0.2424,393363316.2761,95351267.86532664,0.037
21-10-22,0.2446,380298925.4511,93021117.16533907,0.037
21-10-23,0.2511,311513097.8664,78220938.87425303,0.034
21-10-24,0.2756,1279675115.8172,352678461.9192203,0.038
21-10-25,0.2651,786761841.7586,208570564.25020486,0.038
21-10-26,0.2559,566841835.4023,145054825.67944857,0.039
21-10-27,0.2379,1272871769.4095,302816193.94252,0.041
21-10-28,0.2997,5219930976.425217,1564413313.6346376,0.058
21-10-29,0.2882,1449528504.8189,417754115.08880705,0.059
21-10-30,0.269,956948768.8788,257419218.8283972,0.059
21-10-31,0.28,1037320524.5614,290449746.877192,0.059
21-11-01,0.2716,681411474.9541,185071356.59753358,0.059
21-11-02,0.2739,523498212.0015,143386160.26721084,0.058
21-11-03,0.2689,434655291.645,116878807.92334048,0.057
21-11-04,0.263,379245534.2193,99741575.4996759,0.057
21-11-05,0.2609,335836842.645,87619832.2460805,0.057
21-11-06,0.2618,294677203.5243,77146491.88266173,0.057
21-11-07,0.2664,240830810.9384,64157328.033989765,0.057
21-11-08,0.2819,962706185.2348,271386873.6176901,0.056
21-11-09,0.2736,518094770.8618,141750729.3077885,0.056
