time,prices,market_cap,total_volumes
2013-12-15,0.0,3488670.0,0.0
2013-12-17,0.0,1619159.0,0.0
2013-12-18,0.0,2191987.0,0.0
2013-12-19,0.0,4299422.0,0.0
2013-12-20,0.0,9866232.0,0.0
2013-12-21,0.0,4686300.0,0.0
2013-12-22,0.0,4639566.0,0.0
2013-12-23,0.0,4022744.0,0.0
2013-12-24,0.0,9213651.0,0.0
2013-12-25,0.0,7955874.0,0.0
2013-12-26,0.0,8014774.0,0.0
2013-12-27,0.0,8200082.0,408643.0
2013-12-28,0.0,8419861.0,478134.0
2013-12-29,0.0,6793938.0,316038.0
2013-12-30,0.0,7575229.0,327022.0
2013-12-31,0.0,7902574.0,307971.0
2014-01-01,0.0,8079013.0,307264.0
2014-01-02,0.0,6838442.0,284156.0
2014-01-03,0.0,6394233.0,329196.0
2014-01-04,0.0,5924617.0,277419.0
2014-01-05,0.0,5888961.0,266031.0
2014-01-06,0.0,5672127.0,263267.0
2014-01-07,0.0,5332465.0,217425.0
2014-01-08,0.0,4956517.0,162084.0
2014-01-09,0.0,6103020.0,310963.0
2014-01-11,0.0,9161328.0,566763.0
2014-01-12,0.0,9393689.0,988125.0
2014-01-13,0.0,8809476.0,285017.0
2014-01-14,0.0,7871125.0,407551.0
2014-01-15,0.0,9844536.0,609000.0
2014-01-16,0.0,11997265.0,1233290.0
2014-01-17,0.0,11615577.0,505645.0
2014-01-18,0.0,12991064.0,728832.0
2014-01-19,0.0,18232457.0,2988120.0
2014-01-20,0.0,24753515.0,4130400.0
2014-01-21,0.0,59764011.0,15755000.0
2014-01-22,0.0,60441653.0,8429050.0
2014-01-23,0.0,52823305.0,5292870.0
2014-01-24,0.0,58319935.0,5455430.0
2014-01-25,0.0,64615426.0,4218540.0
2014-01-26,0.0,64416612.0,2999100.0
2014-01-27,0.0,60497921.0,4380960.0
2014-01-28,0.0,50833265.0,2342040.0
2014-01-29,0.0,53584322.0,1655470.0
2014-01-30,0.0,58009736.0,2315200.0
2014-01-31,0.0,61487388.0,1761990.0
2014-02-01,0.0,61902236.0,942077.0
2014-02-02,0.0,58739687.0,1078910.0
2014-02-03,0.0,56370074.0,2666580.0
2014-02-04,0.0,48276114.0,2153020.0
2014-02-05,0.0,57354911.0,2776340.0
2014-02-06,0.0,58191338.0,2558690.0
2014-02-07,0.0,50710726.0,1300450.0
2014-02-08,0.0,51960473.0,920436.0
2014-02-09,0.0,56642006.0,1606290.0
2014-02-10,0.0,56505334.0,3879580.0
2014-02-11,0.0,77721495.0,5329270.0
2014-02-12,0.0,91985568.0,9410190.0
2014-02-13,0.0,87092095.0,6483360.0
2014-02-14,0.0,80883284.0,6790370.0
2014-02-15,0.0,73684156.0,5157380.0
2014-02-16,0.0,72529881.0,2040190.0
2014-02-17,0.0,70512004.0,2677330.0
2014-02-18,0.0,69890414.0,1810460.0
2014-02-19,0.0,71588924.0,2543810.0
2014-02-20,0.0,65287124.0,2579030.0
