Date,Open,High,Low,Close,Volume
10/04/2022,1.044,1.07,1.023,1.027,51995282.7
11/04/2022,1.026,1.033,0.917,0.92,159034131.6
12/04/2022,0.919,0.982,0.915,0.955,115179052.5
13/04/2022,0.954,0.981,0.934,0.974,83269578.6
14/04/2022,0.974,0.985,0.923,0.933,84093379.2
15/04/2022,0.933,0.959,0.929,0.956,42541809.7
16/04/2022,0.955,0.962,0.937,0.951,36809858.4
17/04/2022,0.95,0.963,0.912,0.914,42819442.0
18/04/2022,0.914,0.939,0.874,0.937,118870539.6
19/04/2022,0.936,0.957,0.927,0.952,75432689.7
20/04/2022,0.952,0.976,0.93,0.937,93644303.6
21/04/2022,0.937,0.971,0.891,0.91,105007978.4
22/04/2022,0.91,0.924,0.891,0.906,82391016.7
23/04/2022,0.906,0.913,0.881,0.886,34559067.5
24/04/2022,0.886,0.899,0.877,0.886,49191017.0
25/04/2022,0.885,0.9039,0.8261,0.8974,171944524.5
26/04/2022,0.8975,0.903,0.815,0.8259,176710067.0
27/04/2022,0.8258,0.8562,0.8187,0.8401,148780516.9
28/04/2022,0.8401,0.8526,0.8258,0.8432,134885232.9
29/04/2022,0.8432,0.8495,0.7891,0.8048,139320128.3
30/04/2022,0.805,0.8179,0.7351,0.7556,147364161.34
01/05/2022,0.7555,0.8002,0.7451,0.7895,137793227.3
02/05/2022,0.7894,0.7968,0.7636,0.7809,128907016.8
03/05/2022,0.7808,0.7994,0.7605,0.7711,96429722.5
04/05/2022,0.7712,0.8992,0.7677,0.8985,256649760.0
05/05/2022,0.8986,0.9058,0.7716,0.7884,364970629.3
06/05/2022,0.7884,0.7997,0.7625,0.7832,244058670.2
07/05/2022,0.7832,0.7858,0.7467,0.7604,126808896.0
08/05/2022,0.7605,0.7663,0.7254,0.7403,175139530.39
09/05/2022,0.7404,0.7542,0.5976,0.6019,472342566.94
10/05/2022,0.6025,0.701,0.5833,0.6286,436850308.6
11/05/2022,0.6286,0.6631,0.4727,0.5187,623456066.51
12/05/2022,0.5186,0.5508,0.4019,0.4733,815465798.46
13/05/2022,0.4733,0.6094,0.4689,0.529,458070252.8
14/05/2022,0.5289,0.5572,0.4888,0.5372,253441055.6
15/05/2022,0.5374,0.5999,0.5148,0.5981,195264575.4
16/05/2022,0.5982,0.6146,0.5444,0.5569,280903516.1
17/05/2022,0.5569,0.5999,0.5511,0.5778,178084619.6
18/05/2022,0.5776,0.5863,0.5026,0.5059,203077123.9
19/05/2022,0.5059,0.5467,0.4917,0.5334,205816006.7
20/05/2022,0.5334,0.545,0.5012,0.5162,174293262.6
21/05/2022,0.5162,0.5388,0.5086,0.5286,85487336.0
22/05/2022,0.5286,0.5488,0.5219,0.5416,104514258.8
23/05/2022,0.5416,0.5595,0.5039,0.5134,189427959.8
24/05/2022,0.5133,0.5255,0.4927,0.5219,170905795.6
25/05/2022,0.5218,0.5328,0.5071,0.5146,133554250.3
26/05/2022,0.5145,0.521,0.4614,0.4789,243664954.1
27/05/2022,0.4788,0.4839,0.4454,0.4566,268406015.6
