Date,Open,High,Low,Close,Volume
10/04/2022,3258.57,3307.22,3193.0,3203.04,232303.2326
11/04/2022,3203.04,3213.63,2950.0,2979.74,693394.2912
12/04/2022,2979.75,3085.0,2950.0,3027.66,579522.9505
13/04/2022,3027.65,3128.97,2996.86,3118.28,419101.494
14/04/2022,3118.28,3145.0,2976.3,3021.98,408382.5572
15/04/2022,3021.98,3060.92,2993.13,3040.56,249626.2981
16/04/2022,3040.57,3086.1,3010.03,3059.3,176352.4165
17/04/2022,3059.3,3083.0,2981.7,2988.06,243772.074
18/04/2022,2988.07,3069.6,2883.22,3055.56,510251.6536
19/04/2022,3055.56,3131.0,3030.34,3101.77,359375.0038
20/04/2022,3101.74,3166.5,3036.45,3076.04,415000.0685
21/04/2022,3076.03,3180.0,2942.31,2983.58,562699.697
22/04/2022,2983.57,3034.32,2930.35,2962.39,452433.082
23/04/2022,2962.39,2978.03,2913.89,2933.03,187576.7324
24/04/2022,2933.04,2967.06,2912.09,2921.0,218957.0222
25/04/2022,2920.99,3025.65,2797.01,3006.62,619198.3616
26/04/2022,3006.63,3039.54,2767.0,2809.67,531184.3504
27/04/2022,2809.68,2919.87,2794.46,2888.96,488951.2416
28/04/2022,2888.95,2980.0,2853.83,2936.93,537392.9978
29/04/2022,2936.92,2946.46,2776.63,2817.13,525978.147
30/04/2022,2817.13,2841.63,2709.26,2726.66,367757.2469
01/05/2022,2726.67,2849.9,2716.13,2824.81,442544.8792
02/05/2022,2824.81,2894.22,2778.78,2856.54,521706.8567
03/05/2022,2856.54,2861.47,2755.19,2781.7,371331.1796
04/05/2022,2781.7,2965.85,2771.74,2940.64,548738.0668
05/05/2022,2940.65,2954.65,2683.0,2747.97,734845.3194
06/05/2022,2747.96,2758.18,2632.95,2692.85,711449.3234
07/05/2022,2692.86,2704.36,2584.75,2635.34,371271.4532
08/05/2022,2635.35,2642.0,2484.0,2519.71,757615.3415
09/05/2022,2519.71,2530.78,2225.0,2228.55,1574924.9793
10/05/2022,2229.0,2457.34,2200.0,2342.05,1550626.1387
11/05/2022,2342.04,2451.37,2005.0,2084.99,2022864.83806
12/05/2022,2084.99,2195.0,1800.0,1960.22,2305192.90836
13/05/2022,1960.22,2147.54,1940.23,2009.69,1134042.3387
14/05/2022,2009.69,2070.06,1951.21,2056.48,563788.3078
15/05/2022,2056.47,2167.0,2000.68,2145.29,514398.2587
16/05/2022,2145.29,2145.29,1979.12,2023.66,822070.8531
17/05/2022,2023.66,2122.42,2008.0,2090.72,568249.0448
18/05/2022,2090.72,2110.72,1908.0,1915.11,631577.2341
19/05/2022,1915.11,2040.39,1903.18,2019.55,741476.9794
20/05/2022,2019.55,2064.0,1923.0,1959.08,576981.5371
21/05/2022,1959.08,1990.86,1937.36,1975.07,238869.7632
22/05/2022,1975.06,2056.41,1966.33,2043.19,355735.1927
23/05/2022,2043.19,2088.5,1957.12,1973.32,636085.0224
24/05/2022,1973.33,1993.83,1913.02,1979.41,534096.972
25/05/2022,1979.4,2022.34,1934.61,1942.63,524786.3091
26/05/2022,1942.64,1966.01,1735.0,1792.23,1168740.57514
27/05/2022,1792.24,1822.26,1703.0,1727.27,1296693.28537
28/05/2022,1727.26,1808.98,1722.26,1792.22,558271.1818
29/05/2022,1792.21,1827.4,1759.96,1813.64,432430.611
30/05/2022,1813.64,2013.0,1803.18,1998.78,814922.8359
31/05/2022,1998.78,2016.45,1925.0,1941.9,751103.4226
01/06/2022,1941.9,1972.58,1763.75,1817.95,1037841.2706
02/06/2022,1817.96,1853.05,1782.42,1834.08,788784.4017
03/06/2022,1834.09,1843.91,1737.0,1775.12,741282.5346
04/06/2022,1775.13,1816.0,1748.43,1804.58,388279.4579
05/06/2022,1804.58,1830.17,1773.05,1806.23,371974.5061
06/06/2022,1806.22,1920.0,1804.35,1859.84,804250.3567
07/06/2022,1859.84,1874.98,1725.13,1813.33,1397598.2288
08/06/2022,1813.33,1838.77,1765.28,1791.88,941510.1373
09/06/2022,1791.88,1833.0,1777.33,1788.81,535310.9618
10/06/2022,1788.8,1804.32,1655.93,1662.91,955035.79239
11/06/2022,1662.91,1682.21,1496.74,1532.89,1220325.2542
12/06/2022,1532.89,1547.0,1423.0,1434.84,1563225.37018
13/06/2022,1434.84,1455.0,1165.45,1209.82,3626351.66536
14/06/2022,1209.35,1268.45,1075.8,1208.9,2716493.80131
15/06/2022,1208.9,1250.0,1014.4,1237.52,3114823.13621
16/06/2022,1237.53,1257.85,1051.55,1068.5,1447386.8304
17/06/2022,1068.5,1118.0,1051.11,1086.94,1220677.9491
18/06/2022,1086.93,1097.58,881.56,995.13,2308983.5187
19/06/2022,995.12,1158.62,936.15,1128.53,2018599.4499
20/06/2022,1128.53,1170.0,1053.0,1128.24,1721772.9132
21/06/2022,1128.24,1194.0,1109.23,1125.85,1306095.3757
22/06/2022,1125.86,1127.33,1043.65,1050.19,1306959.8593
23/06/2022,1050.19,1155.0,1045.3,1144.72,1278257.0899
24/06/2022,1144.71,1245.43,1132.0,1225.02,1337137.483
25/06/2022,1225.02,1256.77,1180.0,1242.36,861986.6177
26/06/2022,1242.31,1280.0,1194.6,1197.79,884184.273
27/06/2022,1197.79,1238.93,1172.49,1192.51,868734.2061
28/06/2022,1192.51,1237.99,1136.32,1144.05,1104065.2211
29/06/2022,1144.05,1156.8,1087.42,1100.21,1295517.796
30/06/2022,1100.21,1106.62,998.0,1071.01,1420670.3656
01/07/2022,1071.02,1117.0,1033.44,1059.73,1562255.1439
02/07/2022,1059.73,1078.88,1028.29,1067.01,714812.0804
03/07/2022,1067.01,1088.34,1040.78,1074.26,644746.3337
04/07/2022,1074.26,1160.9,1045.37,1151.0,1150108.9861
05/07/2022,1151.01,1174.9,1076.34,1132.5,1398961.4495
06/07/2022,1132.51,1205.0,1111.44,1186.57,1211768.0757
07/07/2022,1186.57,1254.29,1163.18,1237.49,1001316.079
08/07/2022,1237.49,1276.46,1193.15,1214.04,1189518.3631
09/07/2022,1214.03,1235.4,1204.67,1217.02,576337.1809
10/07/2022,1217.02,1219.95,1153.0,1168.36,1018038.6506
11/07/2022,1168.37,1171.29,1091.71,1096.4,1201652.3048
12/07/2022,1096.37,1098.26,1033.46,1038.58,1261349.6321
13/07/2022,1038.58,1119.18,1006.32,1115.0,2035605.8299
14/07/2022,1115.01,1214.65,1072.11,1193.42,1605101.9262
15/07/2022,1193.42,1287.82,1181.05,1231.25,1466037.2584
16/07/2022,1231.25,1422.91,1191.23,1355.85,1493809.9226
17/07/2022,1355.84,1387.0,1319.04,1338.65,1246202.8795
18/07/2022,1338.65,1597.47,1336.07,1581.04,2029918.76521
19/07/2022,1581.03,1631.0,1493.11,1542.32,1846048.6816
20/07/2022,1542.33,1620.4,1484.23,1521.58,1351177.4247
21/07/2022,1521.63,1605.98,1463.56,1575.45,1247327.4963
22/07/2022,1575.45,1650.05,1516.11,1535.27,1170723.0873
23/07/2022,1535.27,1596.51,1488.0,1548.67,851284.7339
24/07/2022,1548.66,1664.34,1545.67,1597.7,1009935.8997
25/07/2022,1597.7,1609.55,1435.58,1440.79,1418390.9809
26/07/2022,1440.79,1454.11,1356.17,1449.12,1199643.7408
27/07/2022,1449.12,1644.44,1420.83,1635.74,1513426.0413
28/07/2022,1635.74,1784.79,1593.27,1724.52,1578145.07555
29/07/2022,1724.52,1765.99,1655.02,1721.68,1205266.5703
30/07/2022,1721.68,1744.85,1673.01,1697.0,735132.5286
31/07/2022,1697.0,1754.69,1666.0,1678.12,696326.8079
01/08/2022,1678.12,1704.68,1606.12,1630.28,801566.5648
02/08/2022,1630.28,1678.0,1559.28,1630.91,1081964.5104
03/08/2022,1630.91,1685.03,1589.71,1618.16,777724.7413
04/08/2022,1618.16,1662.79,1580.39,1607.96,735552.181
05/08/2022,1607.97,1742.07,1605.64,1736.81,1005846.4712
06/08/2022,1736.81,1749.93,1685.26,1690.6,523314.6444
07/08/2022,1690.6,1729.79,1668.0,1700.19,439904.764
08/08/2022,1700.2,1818.0,1693.87,1777.05,781620.5443
09/08/2022,1777.05,1790.83,1667.93,1702.76,818171.1019
10/08/2022,1702.76,1885.0,1656.78,1853.57,1317767.5127
11/08/2022,1853.58,1942.0,1850.32,1880.19,1105261.9009
12/08/2022,1880.19,1964.71,1853.06,1958.28,717628.1015
13/08/2022,1958.28,2020.0,1946.5,1983.55,695876.0293
14/08/2022,1983.55,2030.0,1906.0,1935.31,569583.4852
15/08/2022,1935.32,2012.47,1872.31,1899.06,949162.3305
16/08/2022,1899.05,1915.0,1853.0,1876.67,622729.1499
17/08/2022,1876.67,1959.43,1818.74,1834.25,951824.8975
18/08/2022,1834.24,1882.37,1821.25,1846.39,606254.024
19/08/2022,1846.39,1848.0,1602.37,1609.01,1419826.9515
20/08/2022,1609.0,1657.08,1523.67,1576.04,914615.9226
21/08/2022,1576.03,1646.52,1562.34,1618.13,780662.6062
22/08/2022,1618.13,1629.72,1529.92,1624.66,941192.8954
23/08/2022,1624.65,1676.07,1563.76,1665.41,940246.932
24/08/2022,1665.4,1694.13,1604.92,1656.56,744667.6078
25/08/2022,1656.56,1722.0,1653.68,1695.11,603090.713
26/08/2022,1695.11,1706.45,1486.85,1508.18,1149912.8292
27/08/2022,1508.18,1518.42,1447.52,1491.06,756136.6768
28/08/2022,1491.06,1511.0,1424.0,1426.76,544846.4486
29/08/2022,1426.76,1559.99,1422.08,1551.8,826252.0831
30/08/2022,1551.79,1606.13,1473.61,1524.59,1003075.0172
31/08/2022,1524.59,1619.78,1524.59,1554.1,949227.6775
01/09/2022,1554.11,1599.0,1512.77,1586.16,728710.482
02/09/2022,1586.17,1650.0,1546.41,1575.35,919009.6598
03/09/2022,1575.35,1582.71,1534.28,1557.46,321397.2189
04/09/2022,1557.45,1583.66,1540.66,1579.28,296591.1166
05/09/2022,1579.29,1631.99,1556.56,1617.8,503492.937
06/09/2022,1617.8,1687.4,1555.0,1559.01,1010722.8578
07/09/2022,1559.01,1657.5,1490.66,1630.0,850991.4243
08/09/2022,1630.0,1663.56,1595.06,1635.37,645124.0085
09/09/2022,1635.37,1746.13,1630.51,1718.23,837458.2126
10/09/2022,1718.24,1789.0,1706.03,1774.12,411046.2466
11/09/2022,1774.12,1789.0,1720.1,1766.11,409287.7263
12/09/2022,1766.12,1783.0,1693.0,1716.37,630774.6032
13/09/2022,1716.37,1760.51,1560.54,1574.4,1134549.7256
14/09/2022,1574.4,1647.01,1552.38,1638.39,764562.5393
15/09/2022,1638.4,1655.2,1458.0,1472.75,1335499.8047
16/09/2022,1472.76,1483.35,1405.52,1433.9,693597.2425
17/09/2022,1433.9,1476.13,1409.12,1468.83,421391.3743
18/09/2022,1468.82,1469.63,1325.55,1334.51,804113.468
19/09/2022,1334.51,1393.35,1280.0,1375.98,974855.198
20/09/2022,1375.98,1384.78,1312.71,1322.93,658027.1465
21/09/2022,1322.94,1408.9,1220.0,1245.78,1192266.7379
22/09/2022,1245.79,1350.08,1237.32,1326.46,904282.2725
23/09/2022,1326.47,1360.0,1262.15,1327.25,974052.3644
24/09/2022,1327.24,1349.33,1306.52,1317.13,517557.3497
25/09/2022,1317.13,1337.0,1269.27,1294.63,515533.8409
26/09/2022,1294.62,1340.42,1277.85,1336.17,799166.4333
27/09/2022,1336.17,1400.0,1303.75,1328.02,860584.8944
28/09/2022,1328.01,1355.7,1253.2,1337.2,919314.9131
29/09/2022,1337.2,1352.02,1288.52,1335.7,770591.6895
30/09/2022,1335.69,1373.19,1313.35,1328.72,740753.611
01/10/2022,1328.71,1333.69,1302.68,1311.79,252081.9056
02/10/2022,1311.79,1317.93,1270.0,1276.72,371740.0407
03/10/2022,1276.72,1329.9,1263.04,1323.09,483775.2435
04/10/2022,1323.1,1369.55,1318.66,1361.49,476207.6702
05/10/2022,1361.5,1364.77,1316.29,1352.2,483508.7782
06/10/2022,1352.2,1383.99,1345.01,1352.06,573975.324
07/10/2022,1352.07,1361.75,1317.26,1331.1,491999.8776
08/10/2022,1331.1,1337.35,1303.51,1315.48,203391.6612
09/10/2022,1315.48,1329.0,1307.26,1323.13,186201.9185
10/10/2022,1323.13,1338.0,1288.0,1290.03,393663.0114
11/10/2022,1290.03,1298.0,1267.01,1280.11,429430.3941
12/10/2022,1280.11,1306.87,1275.25,1294.44,369712.5759
13/10/2022,1294.44,1301.58,1190.0,1287.08,945618.3163
14/10/2022,1287.08,1343.12,1283.39,1296.27,669742.8093
15/10/2022,1296.26,1301.69,1263.64,1274.92,287100.9529
16/10/2022,1274.93,1315.35,1274.67,1305.95,293321.3632
17/10/2022,1305.96,1338.57,1295.64,1331.4,459848.4941
18/10/2022,1331.39,1341.73,1286.72,1310.71,572728.9189
19/10/2022,1310.71,1313.5,1280.31,1285.09,368637.5105
20/10/2022,1285.09,1310.87,1270.36,1282.57,428531.6103
21/10/2022,1282.57,1306.97,1252.65,1299.75,468076.7986
22/10/2022,1299.76,1320.2,1294.32,1313.61,221776.7007
23/10/2022,1313.62,1371.55,1299.44,1364.2,432269.46
24/10/2022,1364.19,1370.6,1324.17,1343.61,611830.797
25/10/2022,1343.61,1525.16,1334.94,1459.74,1127932.9012
26/10/2022,1459.74,1594.99,1457.44,1566.1,1236044.7023
