time1,prices,market_cap,total_volumes
2015-08-07,2.83,0.0,90622.0
2015-08-08,1.33,80339475.0,368070.0
2015-08-10,0.69,41556309.21112176,400464.0745435489
2015-08-11,1.07,64539006.306272194,1518998.2053373822
2015-08-12,1.26,76013261.05415402,2073893.3450314845
2015-08-13,1.83,110468836.22388984,4380142.704000345
2015-08-14,1.83,110555313.26025319,4355618.378552116
2015-08-15,1.67,101215246.3781064,2519633.2708181436
2015-08-16,1.48,89480939.24025029,3032657.656405736
2015-08-17,1.2,87313387.94547918,1880092.2147175823
2015-08-18,1.28,92957858.0620156,1696013.472335737
2015-08-19,1.25,90920695.86547753,1537200.8409894055
2015-08-20,1.48,107749185.84108424,2967730.5022106003
2015-08-21,1.41,102131022.8278611,1742881.8081502889
2015-08-22,1.38,100308763.78229792,914588.6539745613
2015-08-23,1.36,98488001.44464436,1610695.8727506467
2015-08-24,1.25,90625948.31797116,696476.5553267623
2015-08-25,1.16,84423109.08066371,1053169.3862050485
2015-08-26,1.12,81454879.46968535,1151700.041593045
2015-08-27,1.13,82504022.8230964,681460.2394411361
2015-08-28,1.19,86549490.63266213,715178.7899308845
2015-08-29,1.17,85515599.87435573,607200.891453558
2015-08-30,1.32,96321049.6917207,1045589.321256734
2015-08-31,1.35,98608290.53954794,1197102.0492865555
2015-09-01,1.35,98446826.49425755,610368.2430900692
2015-09-02,1.28,93224371.25915022,629746.119316548
2015-09-03,1.26,92075482.63297981,583923.7452450913
2015-09-04,1.27,92596631.55333723,333502.66115673864
2015-09-05,1.33,97402782.61913483,350815.4668948872
2015-09-06,1.3,94801706.70501994,317470.0943419727
2015-09-07,1.26,91718481.31789045,487005.2028033498
2015-09-08,1.24,90274690.39947063,419148.8018252036
2015-09-09,1.21,88150718.66876175,367774.3318949896
2015-09-10,1.17,85308945.82326,639527.9174929534
2015-09-11,0.98,71394234.94958797,1901710.694902119
2015-09-12,1.04,75931677.01254052,800623.2998453851
2015-09-13,0.94,68673818.80135794,658895.1959938455
2015-09-14,0.87,63965969.21105757,739213.7259180878
2015-09-15,0.94,68951445.2301325,725816.471124354
2015-09-16,0.9,66147947.57992838,629370.0849072988
2015-09-17,0.88,64693831.07862287,910704.9512256783
2015-09-18,0.85,62003275.12077277,478606.3969218407
2015-09-19,0.88,64666306.22983543,387803.6167124918
2015-09-20,0.94,68666556.12460059,514836.10862474947
2015-09-21,0.9,66105164.81214318,429253.50431215833
2015-09-22,0.9,65835322.779180124,485738.9553869821
2015-09-23,0.89,65633959.754653834,204065.40590088838
2015-09-24,0.82,59927327.71396765,818263.068224302
2015-09-25,0.74,54400658.247102216,901151.6190115963
2015-09-26,0.78,57158415.438244216,379124.1859007531
2015-09-27,0.72,53028193.82255717,408380.6390382605
2015-09-28,0.58,42874816.973063745,1214056.2117823916
2015-09-29,0.66,48389042.902712226,936630.3296074625
2015-09-30,0.73,54065419.507539704,640217.6226458604
2015-10-01,0.69,50481342.528862044,588839.7815035215
2015-10-02,0.68,49792779.28891763,220969.48495190177
2015-10-03,0.69,50638684.01549935,163820.85347975112
2015-10-04,0.67,49187272.3502002,104370.45073472841
2015-10-05,0.63,46307572.65224096,221647.20706785333
2015-10-06,0.65,47605896.39364778,268523.03787593375
2015-10-07,0.61,44984157.19104538,216715.50684861522
2015-10-08,0.62,45977519.79859987,310876.1441075317
2015-10-09,0.65,47989631.2526218,379233.1220398259
2015-10-10,0.63,46490996.55001768,145554.93808006204
2015-10-11,0.64,47026115.24213034,87074.79961764446
2015-10-12,0.63,46416611.842303865,108895.52921643597
2015-10-13,0.6,44485499.29942276,297117.07710031554
2015-10-14,0.52,38272635.02078042,944847.8047126097
2015-10-15,0.56,41527413.54435173,376563.0715091993
2015-10-16,0.53,39443831.31743269,247071.24723507115
2015-10-17,0.55,40632190.61699083,317377.7617794195
2015-10-18,0.52,38382124.41691709,133661.67045159836
2015-10-19,0.49,36070935.31062339,240250.37656809334
2015-10-20,0.43,32076052.631905656,352361.0618641571
2015-10-21,0.44,32590298.008333907,599041.0131522977
2015-10-22,0.57,41918540.78268511,979304.0724230009
2015-10-23,0.54,40100107.0136459,866798.4888542511
2015-10-24,0.57,42179070.75754259,259157.66241063716
2015-10-25,0.63,46895926.257060364,476617.738601437
2015-10-26,0.74,55226993.78944921,1174026.819064362
2015-10-27,0.85,63451496.574236006,1887568.9059290001
2015-10-28,1.01,75057962.81264551,2447633.7976275166
2015-10-29,1.16,86478981.5524642,2236842.210445422
2015-10-30,1.04,77447839.42741764,2384549.998119618
2015-10-31,0.91,67453442.47710526,652271.5873221146
2015-11-01,1.06,78742733.24541084,603996.1990296076
2015-11-02,0.96,71066352.05814125,970665.6783058537
2015-11-03,1.0,74613449.56251672,1878273.0109212757
2015-11-04,0.9,67152505.55125615,3218064.880847628
2015-11-05,0.91,67532501.09696001,1202885.3800460405
2015-11-06,0.91,67767390.10082617,913629.1696859167
2015-11-07,0.92,68761146.27837914,904631.8699629814
2015-11-08,1.03,76839299.32470989,1040086.7545033679
2015-11-09,1.0,74277547.07634276,1972521.3874033373
2015-11-10,0.93,69753492.14382021,865031.5412400892
2015-11-11,0.79,58873875.70678452,1243322.7527190507
2015-11-12,0.9,67254888.20415637,826829.6689207307
2015-11-13,0.9,67527257.40972713,545086.2658886773
2015-11-14,0.88,66066714.4889687,361586.11600976856
2015-11-15,0.91,68078325.7946219,432023.407831642
2015-11-16,0.93,69812830.40735959,616346.9298519328
2015-11-17,1.0,74440734.3005621,1128249.5445129166
2015-11-18,0.99,74402718.74542972,687203.3331021931
2015-11-19,0.95,71212297.76056388,434385.481510446
2015-11-20,0.93,69388368.57982641,606560.338362119
2015-11-21,0.97,72914368.80252853,454926.9190034523
2015-11-22,0.96,72276339.25126061,371962.8833336563
2015-11-23,0.95,70839197.81949022,437126.39426833094
2015-11-24,0.9,67424299.39769948,354914.08621214016
2015-11-25,0.87,65072847.332706206,708867.1776788787
2015-11-26,0.89,67132055.60740013,959696.4719438321
2015-11-27,0.87,65341845.392888874,398595.4996438545
2015-11-28,0.92,68868768.28657502,465064.93868912815
2015-11-29,0.87,65463342.96555324,436939.13020833576
2015-11-30,0.87,65624853.97047546,775372.5405749859
2015-12-01,0.88,65752486.02943543,643109.8579217136
2015-12-02,0.82,61844779.03171155,494205.89284799533
2015-12-03,0.82,62018808.085017644,541681.1368684795
2015-12-04,0.84,63094325.07829986,241947.49444270384
2015-12-05,0.86,65056337.64166404,226084.41071520853
2015-12-06,0.83,62850264.41510667,429681.2894745185
2015-12-07,0.8,60292476.61320164,494657.61802976346
2015-12-08,0.82,61675859.110314034,435966.80884823814
2015-12-09,0.79,59661067.18085799,627128.9260492469
2015-12-10,0.85,63872552.27588074,374543.00586710183
2015-12-11,0.92,69119370.62718369,765839.8738111159
2015-12-12,0.97,73250296.07272834,1385279.0437324098
2015-12-13,0.96,72302484.28350292,279257.6104401555
2015-12-14,1.0,75133022.39506158,562723.38601539
2015-12-15,1.02,76787012.60189861,573171.6204861925
2015-12-16,0.99,74686005.22814946,207316.98728030306
2015-12-17,0.94,71033582.40629953,641112.3505143464
2015-12-18,0.92,69616990.9878865,297866.39712775947
2015-12-19,0.91,68767429.85047308,333313.4238328429
2015-12-20,0.9,68305705.24538197,467489.5933259762
2015-12-21,0.9,67842615.39188164,543846.3978062818
2015-12-22,0.88,66514758.19337365,468144.5604338489
2015-12-23,0.87,65674405.654046126,333657.8603050268
2015-12-24,0.86,65226512.003279686,353090.34035883
2015-12-25,0.87,65957619.83793369,169208.7604895867
2015-12-26,0.85,64637552.400460914,424123.09670471714
2015-12-27,0.86,65104495.77797423,208247.21865890338
2015-12-28,0.84,63858382.55360898,228592.5875954824
2015-12-29,0.87,65951485.1558242,211396.56750766764
2015-12-30,0.9,68315404.54669571,584414.4705682999
2015-12-31,0.94,71083912.69961053,668846.07044826
2016-01-01,0.95,71849843.66511223,202032.13336863558
2016-01-02,0.94,71252107.9687766,252880.2353165073
2016-01-03,0.97,73864483.22222728,402755.9084078687
2016-01-04,0.96,72909192.00505088,341506.82136802946
2016-01-05,0.95,72462361.87937805,217443.23809763335
2016-01-06,0.97,73650960.93328463,328507.1523817127
2016-01-07,0.96,72931723.30621576,642269.5176489778
2016-01-08,1.0,75767382.4398899,554403.4018238547
2016-01-09,1.02,78016544.33428131,254045.62911324683
2016-01-10,1.02,77676004.65241879,404315.93496207293
2016-01-11,1.07,81416101.6377075,1025253.0383450065
2016-01-12,1.17,88958959.89936547,2962550.3945903103
2016-01-13,1.13,86108971.48293594,1003321.3604582713
2016-01-14,1.16,88257219.96322113,731050.8483768429
2016-01-15,1.21,92329493.82516772,4049516.2124520643
2016-01-16,1.22,92765190.35300171,2377737.1425659666
2016-01-17,1.32,100866229.13386133,1176009.00668505
2016-01-18,1.4,106770204.99600992,4073710.1202780646
2016-01-19,1.38,105177492.60810892,1684557.2914079635
2016-01-20,1.57,119608403.90910526,2899771.051018662
2016-01-21,1.54,118064297.75775222,1670627.3218903034
2016-01-22,1.47,112494896.69290045,1585027.991812104
2016-01-23,1.69,129390552.65124127,2212028.7971573095
2016-01-24,2.13,163090024.6945184,9578400.618786106
2016-01-25,2.48,189898537.77611715,10884776.210849365
2016-01-26,2.09,159744115.0673894,11669540.231742326
2016-01-27,2.38,182534589.0343229,7048626.2187527
2016-01-28,2.52,193030853.2041578,5043090.697552952
2016-01-29,2.49,190524391.83507282,6527897.661629626
2016-01-30,2.44,186862759.72151402,3674090.3975050296
2016-01-31,2.3,176275775.71473008,5834817.706592737
2016-02-01,2.22,170434539.30474818,3991411.3414352452
2016-02-02,2.4,184396131.5986807,3602402.308067327
2016-02-03,2.52,193120920.3597334,4030697.3392438097
2016-02-04,2.56,196350197.91323307,3532651.020271136
2016-02-05,2.53,194548161.01786965,2640353.6147680376
2016-02-06,2.52,193450250.47357807,1924574.7180617019
2016-02-07,2.95,226795324.20954534,7099203.5519039435
2016-02-08,3.17,243366581.58299115,9781404.736808997
2016-02-09,3.72,286139280.9840226,16355217.945349474
2016-02-10,4.43,340624194.15097886,29316397.613274623
2016-02-11,6.01,462140079.76210976,28752968.923665255
2016-02-12,5.48,421542668.4566254,9902598.244079141
2016-02-13,5.37,413798928.6182676,25637385.479897276
2016-02-14,5.17,398234915.54443055,11552061.707776096
2016-02-15,5.32,409885035.83075976,13786358.783861183
2016-02-16,4.37,336781865.25572217,15444552.58629855
2016-02-17,3.74,288700599.2729368,14847989.04999859
2016-02-18,4.4,339233532.70569825,17707643.869024027
2016-02-19,4.49,346746765.74089813,7215680.13205692
2016-02-20,4.3,332040532.28508496,8703306.94050525
2016-02-21,4.65,359334417.7208708,6458218.23306439
2016-02-22,5.61,433193897.2217689,15140246.890369605
2016-02-23,5.61,433593972.8044955,13534870.66434678
2016-02-24,6.13,474102955.51858103,11396482.659191374
2016-02-25,5.94,458942242.84471726,20614025.807056963
2016-02-26,5.9,456082096.8564275,9515283.257397331
2016-02-27,6.36,491795616.48932266,8967228.051799431
2016-02-28,6.44,498424354.01221955,9683081.005927766
2016-02-29,6.31,488620056.2443799,7546069.554011689
2016-03-01,7.56,585403826.3853717,20945587.168326743
2016-03-02,8.4,650547162.2177418,29743237.911609612
2016-03-03,9.5,736507630.9102448,40441406.846499346
2016-03-04,10.04,778040245.1399581,35604151.84878607
2016-03-05,10.94,847886363.7817264,54303350.00956653
2016-03-06,10.96,850440219.9342833,41487265.46159489
2016-03-07,9.4,729122199.5218774,31891736.915083926
2016-03-08,9.8,760648959.2261459,26473661.601431258
2016-03-09,11.97,929438076.2759757,28637679.638494223
2016-03-10,11.21,870327228.7272445,26154096.467449
2016-03-11,11.21,870802676.0308328,21083465.444312476
2016-03-12,13.38,1039511436.0395219,49863322.38648788
2016-03-13,14.89,1157819808.965224,41625885.68412731
2016-03-14,12.29,955721344.4457039,56738456.43221119
2016-03-15,12.97,1008754617.7585647,30654519.10842079
2016-03-16,12.53,975104638.0634549,23016882.43185901
2016-03-17,10.96,856001603.1676563,41222397.150388725
2016-03-18,10.8,843946887.9342747,56331932.49799413
